Borough,Geographical District,Building Code,Building Name ,Building Address,Elevated Result,Date of Initial Test,Number of Samples Tested,Number of Elevated Samples
K,19,K302,I.S. 302 - BROOKLYN,350 LINWOOD STREET,Yes,12/8/2016,101,7
K,21,K303,I.S. 303 - BROOKLYN,501 WEST AVENUE,Yes,12/16/2016,178,37
K,16,K304,P.S. 304 - BROOKLYN,280 HART STREET,Yes,11/29/2016,114,1
K,13,K305,P.S. 305 - BROOKLYN,344 MONROE STREET,Yes,12/6/2016,88,4
K,19,K306,P.S. 306 - BROOKLYN,970 VERMONT STREET,Yes,12/7/2016,109,11
K,13,K307,P.S. 307 - BROOKLYN,209 YORK STREET,Yes,12/1/2016,128,12
K,16,K308,P.S. 308 - BROOKLYN,616 QUINCY STREET,Yes,12/1/2016,132,20
K,16,K309,P.S. 309 - BROOKLYN,794 MONROE STREET,Yes,12/6/2016,95,4
K,20,K310,PS 310 THE SCHOOL FOR FUTURE LEADERS - BROOKLYN,942 62ND STREET,Yes,12/15/2016,109,13
K,22,K312,P.S. 312 - BROOKLYN,7103 AVENUE T,No,12/16/2016,119,0
K,13,K313,ADAMS STREET EDUCATIONAL CAMPUS - K,283 ADAMS STREET,Yes,12/10/2016,120,3
K,20,K314,P.S. 314 - BROOKLYN,330 59 STREET,Yes,12/20/2016,207,10
